"","Year","Month","CE","NE","NO","SE","SO"
"1","2019","01",54.1,70.4,51.9,54.4,33.1
"2","2019","02",48.2,66.9,49.7,52.5,30.7
"3","2019","03",50,64.8,53.9,53,36.2
"4","2019","04",56.4,68.2,59.5,71.9,46.5
"5","2019","05",56.7,68.3,60.5,66.2,53.5
"6","2019","06",28.1,32.9,31.2,33.8,24.1
"7","2019","07",28.4,35.8,30.9,30.1,24.4
"8","2019","08",27.2,37.8,31.1,32.1,23.6
"9","2019","09",27.1,33.9,28.6,31.5,23.8
"10","2019","10",26.7,31.6,27.1,28.3,21.7
"11","2019","11",42.3,52.8,41.2,45.1,29.8
"12","2019","12",53.5,73.3,55.1,63.9,37.5
"13","2020","01",42.5,64.1,44.4,51.8,29.5
"14","2020","02",46.1,57.1,50.4,48.8,31.2
"15","2020","03",47.9,60.1,53.1,58,39.5
"16","2020","04",42.2,53,45.6,51.4,36
"17","2020","05",38.3,48.5,39.3,44.5,32.9
"18","2020","06",28.2,37.8,32.6,27.6,22.9
"19","2020","07",25.3,33.5,30.6,27.4,20.9
"20","2020","08",21.4,24.5,24.4,25.8,17.4
"21","2020","09",25.2,25.5,26,27.8,19.1
"22","2020","10",34.5,44.8,32.2,39.4,23.8
"23","2020","11",44,58.8,38.1,48.8,29.5
"24","2020","12",44.2,61.3,47.3,50.1,29
